c A SAT instance generated from a 3-CNF formula that had 91 clauses and 20 variables
p cnf 20 91
10000111101010101010
9 -3 16 0
4 -16 20 0
-4 6 5 0
-6 -5 4 0
-6 -12 -13 0
-19 -16 13 0
1 -20 -9 0
6 -2 5 0
-4 -11 15 0
-16 8 10 0
-5 2 18 0
-5 8 3 0
-4 -20 -6 0
7 -6 20 0
-17 2 -3 0
-8 -9 -11 0
-11 14 2 0
20 -15 -10 0
19 -20 15 0
4 2 -3 0
1 14 -19 0
-5 -16 13 0
9 -18 -12 0
-15 10 -8 0
9 -17 -14 0
-12 1 -4 0
-5 3 17 0
5 9 10 0
15 -9 -11 0
-15 -1 -20 0
-13 19 -4 0
15 -16 -17 0
6 5 18 0
-8 -12 16 0
11 18 9 0
15 8 -2 0
-2 20 19 0
19 -2 13 0
-16 -8 18 0
14 5 -16 0
7 -9 -13 0
-4 18 -2 0
9 -19 11 0
7 -12 9 0
-3 -2 -16 0
-18 -1 12 0
11 -8 7 0
13 3 -14 0
-10 -6 -16 0
18 3 4 0
16 7 -3 0
-19 4 -3 0
-17 -3 -5 0
-11 -10 -15 0
-6 11 -4 0
20 5 -18 0
-6 -13 -2 0
-1 -12 -7 0
-8 -7 -13 0
11 -10 -13 0
-11 -3 -6 0
-19 -1 -18 0
-19 1 -2 0
15 16 -12 0
17 14 6 0
13 -9 -12 0
-7 -16 -18 0
-7 -9 17 0
-11 2 9 0
6 -1 -14 0
14 -11 -19 0
-1 5 13 0
-12 13 17 0
15 5 11 0
-9 6 11 0
8 -20 15 0
17 7 6 0
13 20 10 0
6 -12 -9 0
14 -6 -5 0
-15 2 -12 0
-13 -7 15 0
19 16 -17 0
-4 -3 -15 0
7 15 11 0
7 -4 -20 0
-8 19 18 0
7 -12 -2 0
17 -10 3 0
-10 -7 -14 0
8 10 -19 0
